Respondent_ID,Segment,Anket_Adi,Anket_Tarihi,Acente_Adi,Sehir,Bolge,CustomerName,CustomerType,Filo_Retail,Yas,Cinsiyet,Gelir_Grubu,S2_Stenos_Kredisi_Kullandi_mi,S3_Tercih_Etmeme_Nedeni,S12_En_Onemli_Neden,S4_Teklif_Alinan_Kuruluslar,S5_Kredi_Kullanilan_Kurulus,Odeme_Yontemi,S6_Bilgilendirme_Memnuniyeti,S7_Dijital_Kolayliklarin_Onemi,S8_Marka_Baglantisi_Etkili_mi,S9_Onemli_Ek_Avantajlar,S10_Kasko_Tercih_Etmeme_Nedeni,S11_Gelecekte_Tercih_Olasiligi,M1_Veri_Paylasim_Izni,S6_Endeks_100,S6_Top2Box,S11_Yuksek_Egilim
CSI-NCR-00001,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-02-19,Stenos İstanbul Maslak,İstanbul,Marmara Bölgesi,Şefiye Bilge,Otomobil-Binek,Retail,54,Kadın,25.000 TL altı,2,Yeterli kredi limiti / onay alamadım,Yeterli kredi limiti / onay alamadım,Denizbank; İş Bankası,Denizbank,Rakip Kuruluş Kredisi,7,8,1,Online store,Sigorta şirketi memnuniyetsizliği; Kendi sigortacısının olması / Tanıdık acente olması,%51 - %75,1,66.7,0,1
CSI-NCR-00002,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-09-19,Stenos Malatya Battalgazi,Malatya,Doğu Anadolu Bölgesi,Güçyeter Çorlu,Otomobil-Binek,Retail,34,Erkek,50.001 - 85.000 TL,2,Yeterli kredi limiti / onay alamadım,Yeterli kredi limiti / onay alamadım,OdeaBank; Şekerbank; Halk Bankası,OdeaBank,Rakip Kuruluş Kredisi,7,8,2,Vade seçenekleri,Servis hizmet memnuniyetsizliği,%26 - %50,1,66.7,0,0
CSI-NCR-00003,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-03-08,Stenos Kayseri Melikgazi,Kayseri,İç Anadolu Bölgesi,Hiçsönmez Hançer,Otomobil-Binek,Retail,41,Kadın,50.001 - 85.000 TL,2,Kampanya ve vade koşulları uygun değildi,Kampanya ve vade koşulları uygun değildi,Garanti Bankası; QNB Fibabank,Garanti Bankası,Rakip Kuruluş Kredisi,7,7,1,Ödeme tatili / Ödemesiz dönem; İşlem masrafı,Servis hizmet memnuniyetsizliği,%51 - %75,1,66.7,0,1
CSI-NCR-00004,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-06-20,Stenos Erzurum Yakutiye,Erzurum,Doğu Anadolu Bölgesi,Elifnur Tevetoğlu Demirel,Hafif Ticari,Retail,48,Erkek,25.001 - 50.000 TL,2,Borçlanmak istemedim / mevcut kredi yüküm vardı,Borçlanmak istemedim / mevcut kredi yüküm vardı,Yapı ve Kredi Bankası; ING; HSBC Bank,Henüz kredi kullanmadım,Nakit / Havale,4,6,2,Sigorta kolaylığı; Ödeme tatili / Ödemesiz dönem,Kendi sigortacısının olması / Tanıdık acente olması; Servis hizmet memnuniyetsizliği,%26 - %50,1,33.3,0,0
CSI-NCR-00005,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2026-04-04,Stenos Malatya Battalgazi,Malatya,Doğu Anadolu Bölgesi,Gönen Durmuş,Hafif Ticari,Retail,58,Kadın,25.001 - 50.000 TL,2,Faiz oranları yüksek geldi,Faiz oranları yüksek geldi,Vakıflar Bankası; Şekerbank,Vakıflar Bankası,Rakip Kuruluş Kredisi,6,10,2,Özel müşteri temsilcisi; Vade seçenekleri,Kendi sigortacısının olması / Tanıdık acente olması,%0 -%25,1,55.6,0,0
CSI-NCR-00006,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2026-06-21,Stenos Malatya Battalgazi,Malatya,Doğu Anadolu Bölgesi,Mükrüme Alemdar Yaman,Otomobil-Binek,Retail,37,Erkek,85.001 - 150.000 TL,2,Faiz oranları yüksek geldi,Faiz oranları yüksek geldi,Halk Bankası; Burgan Bank,Halk Bankası,Rakip Kuruluş Kredisi,7,10,2,Sigorta kolaylığı; Özel müşteri temsilcisi,Kendi sigortacısının olması / Tanıdık acente olması,%51 - %75,1,66.7,0,1
CSI-NCR-00007,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2026-04-07,Stenos İzmir Bornova,İzmir,Ege Bölgesi,Tonguç Ülker,Otomobil-Binek,Filo,64,Erkek,50.001 - 85.000 TL,2,Kampanya ve vade koşulları uygun değildi,Kampanya ve vade koşulları uygun değildi,Alternatifbank; HSBC Bank,Alternatifbank,Rakip Kuruluş Kredisi,3,10,1,Online store; Vade seçenekleri; Özel müşteri temsilcisi,Kendi sigortacısının olması / Tanıdık acente olması; Servis hizmet memnuniyetsizliği,%26 - %50,1,22.2,0,0
CSI-NCR-00008,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-01-17,Stenos Malatya Battalgazi,Malatya,Doğu Anadolu Bölgesi,Arş. Gör. Nevsale Alsoy Arsoy,Otomobil-Binek,Retail,50,Kadın,50.001 - 85.000 TL,2,Borçlanmak istemedim / mevcut kredi yüküm vardı,Borçlanmak istemedim / mevcut kredi yüküm vardı,Garanti Bankası,Henüz kredi kullanmadım,Nakit / Havale,7,6,1,Vade seçenekleri; Sigorta kolaylığı,Servis hizmet memnuniyetsizliği,%51 - %75,1,66.7,0,1
CSI-NCR-00009,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-11-04,Stenos Denizli Merkezefendi,Denizli,Ege Bölgesi,Gülay Günar Şama,Hafif Ticari,Retail,42,Erkek,50.001 - 85.000 TL,2,Yeterli kredi limiti / onay alamadım,Yeterli kredi limiti / onay alamadım,İş Bankası; Anadolubank; Alternatifbank,İş Bankası,Rakip Kuruluş Kredisi,3,9,1,Ödeme tatili / Ödemesiz dönem,Kendi sigortacısının olması / Tanıdık acente olması,%0 -%25,1,22.2,0,0
CSI-NCR-00010,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-03-31,Stenos Malatya Battalgazi,Malatya,Doğu Anadolu Bölgesi,Öğr. Hafıza Yaman Manço,Hafif Ticari,Retail,44,Erkek,85.001 - 150.000 TL,2,Nakit alımı tercih ettim,Nakit alımı tercih ettim,Finans Bank,Henüz kredi kullanmadım,Nakit / Havale,8,7,1,Vade seçenekleri,Servis hizmet memnuniyetsizliği; Kendi sigortacısının olması / Tanıdık acente olması,%51 - %75,1,77.8,0,1
