Respondent_ID,Segment,Anket_Adi,Anket_Tarihi,G1_Acente_Adi,Acente_Adi,Sehir,Bolge,G6_Ad_Soyad,G7_Bolum,G5_Sorumlu_Segment,G4_Gorev_Satis,G4X_Gorev_Sigorta,G3_Calisma_Suresi,Acente_Satis_Basarisi_Endeks_100,M7_Oneri_Duzeyi_Kod,M7_Oneri_Duzeyi,M1c_Baska_Kurumla_Calisiyor_mu,M1a_Yogun_Calisilan_Kurumlar,M1b_Tercih_Nedeni,M4a_Genel_Memnuniyet_Finans,M3_Brand_Retention,M6_Recommendation_NPS,M6x_Brand_Importance,M10_Sadakat_Unsuru_mu,M11_Neden,M8_Mutlu_Eden_Etkenler,M9_Iyilestirilecek_Konular,S1_1_Ziyaret_Genel_Memnuniyet,S1_2_Ziyaret_Sikligi_Memnuniyet,S3a_Kredilendirme_Sureci,S3b_Stenos_CRM_Memnuniyeti,S3bx_Stenos_CRM_Memnuniyeti_Sigorta,S3b_1_CRM_Sistem_Hizi,S3c_CRM_Memnuniyetsizlik_Nedeni,S5c_Egitim_Memnuniyeti,S6_Mobil_App_Bahsediyor_mu,S7_Mobil_App_Oneriyor_mu,S8_Onermeme_Nedeni,Q1_En_Basarili_Sigorta_Sirketleri,M4aX_Kasko_Genel_Memnuniyet,M6x_Kasko_Tavsiye,Q3_Kasko_Onerme_Egilimi,Q5_Onermeme_Nedeni,Q6_Onerme_Nedeni,M1_Veri_Paylasim_Izni,CRM_Memnuniyeti_Birlesik,CRM_Endeks_100,NPS_Kategori,Genel_Memnuniyet_Birlesik
DSI-00001,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2026-02-16,Stenos İstanbul Maslak,Stenos İstanbul Maslak,İstanbul,Marmara Bölgesi,Selaheddin Kırat Seven,Sigorta,,,Sigorta Danışmanı,3 yıldan fazla,67.2,,,,,,,,,,,,,,,,,,9.0,9,,,,,,Axa; Anadolu Anonim Türk; Aksigorta,9.0,10.0,8,,"Teminat kapsamı geniş, müşteri memnun kalıyor",1,9.0,88.9,,9.0
DSI-00002,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2026-04-16,Stenos Trabzon Ortahisar,Stenos Trabzon Ortahisar,Trabzon,Karadeniz Bölgesi,Kerman Yüksel,Satış,Tüm segmentler,Satış Danışmanı / 2.El Satış Danışmanı / Satış Pazarlama Sorumlusu,,3 yıldan fazla,78.1,5.0,Kredi için önerdiğim tek finans kurumudur,1.0,Stenos Auto Finans; Anadolubank; AlBaraka,Evrak süreci daha basit,7.0,8.0,5.0,10.0,1.0,,Çözüm odaklı olmaları; Finansal açıdan güçlü bir kurum olması,Evrakların sık sık kaybolması; Kolay ulaşılır olmaması; Faizlerin yüksek olması; Telefonların hep meşgul olması ya da cevap verilmemesi,5.0,99.0,6.0,10.0,,9,,7.0,1.0,2.0,Uygulamayı yeterince tanımıyorum,,,,7,,"Teminat kapsamı geniş, müşteri memnun kalıyor",1,10.0,100.0,Detractor,7.0
DSI-00003,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2025-02-05,Stenos Adana Seyhan,Stenos Adana Seyhan,Adana,Akdeniz Bölgesi,Gülseren Şama,Sigorta,,,Sigorta Danışmanı,1 yıl – 3 yıl arası,54.9,,,,,,,,,,,,,,,,,,6.0,6,"Ekranlar arası geçiş yavaş, rapor almak zor",,,,,Türkiye Sigorta; Hepiyi; Allianz,6.0,3.0,8,,"Teminat kapsamı geniş, müşteri memnun kalıyor",2,6.0,55.6,,6.0
DSI-00004,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2025-01-21,Stenos Antalya Muratpaşa,Stenos Antalya Muratpaşa,Antalya,Akdeniz Bölgesi,Muktedir Akdeniz,Satış,Tüm segmentler,Filo Satış Danışmanı,,1 yıldan daha az bir süredir,80.5,2.0,Nadiren önerdiğim finans kurumudur,2.0,Stenos Auto Finans; Kuveyt Türk,Uzun süredir çalışıyoruz,8.0,10.0,6.0,8.0,1.0,,Bankalar gibi şube limitinin olmaması; Yeniden borcu yapılandırması,"Evrakların yavaş kontrol edilmesi; Telefonlara geri dönülmemesi; Sürecin hiçbir aşamasında geri bildirim yapılmaması; Prim sisteminde acenteye ödeme yapılması, paranın kesintiye uğraması",5.0,9.0,8.0,10.0,,9,,6.0,1.0,1.0,,,,,7,,"Teminat kapsamı geniş, müşteri memnun kalıyor",1,10.0,100.0,Detractor,8.0
DSI-00005,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2025-01-02,Stenos Bursa Nilüfer,Stenos Bursa Nilüfer,Bursa,Marmara Bölgesi,Büreyre Zebirce Gül Karadeniz,Satış,Otomobil,Satış Danışmanı / 2.El Satış Danışmanı / Satış Pazarlama Sorumlusu,,3 yıldan fazla,75.4,3.0,Önerdiğim birkaç finans kurumundan biridir,1.0,Stenos Auto Finans; Ziraat Bankası; Türkiye Finans,Faiz avantajı,6.0,6.0,3.0,6.0,2.0,Rakip kurumların koşulları daha esnek kalıyor,Kolay ulaşılabilirlik; Yeniden borcu yapılandırması; Kontaktaki kişilerin olumlu sıcak yaklaşımları; Güvenilir bir kurum olması,Kolay ulaşılır olmaması; Telefonların hep meşgul olması ya da cevap verilmemesi,5.0,5.0,7.0,5.0,,7,"Ekranlar arası geçiş yavaş, rapor almak zor",7.0,1.0,1.0,,,,,4,Fiyat rekabetçi değil / hasar süreci yavaş,,1,5.0,44.4,Detractor,6.0
DSI-00006,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2026-02-13,Stenos Diyarbakır Kayapınar,Stenos Diyarbakır Kayapınar,Diyarbakır,Güney Doğu Anadolu Bölgesi,Aliseydi Aslan,Satış,Tüm segmentler,Filo Satış Müdürü,,1 yıldan daha az bir süredir,74.2,4.0,Kredi için en sık önerdiğim finans kurumudur,1.0,Stenos Auto Finans; Akbank,Onay süreleri kısa,7.0,8.0,10.0,10.0,1.0,,Kontaktaki kişilerin olumlu sıcak yaklaşımları; Bankalar gibi şube limitinin olmaması; Düşük faiz uygulaması; Stenos CRM üzerinden takip yapılabilmesi,Satış danışmanlarının inisiyatif almaması; Banka kadar esnek olunmaması; Evrakların yavaş kontrol edilmesi,5.0,6.0,8.0,9.0,,10,,7.0,1.0,2.0,Müşteriler dijital kullanmak istemiyor,,,,3,Fiyat rekabetçi değil / hasar süreci yavaş,,1,9.0,88.9,Promoter,7.0
DSI-00007,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2026-05-26,Stenos Ankara Çankaya,Stenos Ankara Çankaya,Ankara,İç Anadolu Bölgesi,Şehza Tevetoğlu Türk,Satış,Tüm segmentler,Satış Danışmanı / 2.El Satış Danışmanı / Satış Pazarlama Sorumlusu,,3 yıldan fazla,90.8,4.0,Kredi için en sık önerdiğim finans kurumudur,1.0,Stenos Auto Finans; ING,Müşteri temsilcisi desteği iyi,9.0,8.0,9.0,6.0,1.0,,Stenos CRM üzerinden takip yapılabilmesi; Sabit faiz uygulaması,Evrakların sık sık kaybolması; İşlemlerin hallolması için kişisel bazda çaba harcanma ihtiyacı,7.0,9.0,9.0,9.0,,9,,10.0,1.0,1.0,,,,,8,,"Teminat kapsamı geniş, müşteri memnun kalıyor",1,9.0,88.9,Promoter,9.0
DSI-00008,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2025-06-30,Stenos Kayseri Melikgazi,Stenos Kayseri Melikgazi,Kayseri,İç Anadolu Bölgesi,Coşkun Sezgin,Satış,Otomobil,Acente Operasyon Sorumlusu (S.O.S.),,1 yıldan daha az bir süredir,63.1,,,,,,7.0,,,5.0,1.0,,Toplam paket sunması (sigorta gibi); Sabit faiz uygulaması; Çözüm odaklı olmaları,"Sürecin hiçbir aşamasında geri bildirim yapılmaması; Tecrübesiz çalışanlarının olması; Telefonların hep meşgul olması ya da cevap verilmemesi; Prim sisteminde acenteye ödeme yapılması, paranın kesintiye uğraması",,,6.0,6.0,,5,"Ekranlar arası geçiş yavaş, rapor almak zor",7.0,1.0,1.0,,,,,5,Fiyat rekabetçi değil / hasar süreci yavaş,,1,6.0,55.6,,7.0
DSI-00009,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2026-03-09,Stenos Ankara Çankaya,Stenos Ankara Çankaya,Ankara,İç Anadolu Bölgesi,Nihai Bilir,Satış,Hafif ticari araçlar,Acente Operasyon Sorumlusu (S.O.S.),,3 yıldan fazla,98.8,,,,,,8.0,,,10.0,2.0,Rakip kurumların koşulları daha esnek kalıyor,Kontaktaki kişilerin olumlu sıcak yaklaşımları; Çözüm odaklı olmaları; Yeniden borcu yapılandırması; Toplam paket sunması (sigorta gibi),Telefonlara geri dönülmemesi,,,9.0,8.0,,7,,6.0,1.0,1.0,,,,,9,,"Teminat kapsamı geniş, müşteri memnun kalıyor",1,8.0,77.8,,8.0
DSI-00010,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2026-02-05,Stenos İstanbul Kadıköy,Stenos İstanbul Kadıköy,İstanbul,Marmara Bölgesi,Merba Çamurcuoğlu,Satış,Otomobil,Satış müdürü,,3 yıldan fazla,77.5,5.0,Kredi için önerdiğim tek finans kurumudur,1.0,Stenos Auto Finans; Vakıflar Bankası; Denizbank,Onay süreleri kısa,7.0,5.0,9.0,7.0,1.0,,Esnek ödeme planı sunması; Sabit faiz uygulaması; Stenos CRM üzerinden takip yapılabilmesi,Tecrübesiz çalışanlarının olması; Yoğun olmalarından dolayı işlerin ilerlememesi; Evrakların sık sık kaybolması,7.0,7.0,6.0,8.0,,7,,10.0,1.0,1.0,,,,,8,,"Teminat kapsamı geniş, müşteri memnun kalıyor",2,8.0,77.8,Promoter,7.0
