Respondent_ID,Segment,Anket_Adi,Anket_Tarihi,Acente_Adi,Sehir,Bolge,CustomerName,CustomerType,Filo_Retail,Yas,Cinsiyet,Gelir_Grubu,Kredi_Tutari_TL,Vade_Ay,Kredi_Onay_Suresi_Saat,AB1_Arac_Turu_Teyit,A1_Kredi_Dusunuyor_muydu,A6_Karari_Degistiren_Faktor,A3_Stenos_Finans_Bilinirlik,B5_Arastirilan_Kuruluslar,B6_Tercih_Kriterleri,EO0_Genel_Memnuniyet,EO0N_Neden,EON1_Sorun_Giderildi,EO1x1_Acente_Satis_Danismani,EON3_Neden,EON4_Sorun_Giderildi,EO2x1_Stenos_Satis_Yoneticisi,C1_Satis_Elemani_Yaklasimi,C1a_Finansman_Kosullari_Bilgilendirme,C2_Finansman_Secenekleri,C2N_Neden,C8_Geri_Odeme_Kosullari,C5_Surec_Kolaylik_Hiz,C5N_Neden,C7x_Geri_Odeme_Bilgilendirme_Yeterli,C7xN_Neden,E1_Musteri_Hizmetleri_Aradi_mi,E2_Arama_Konusu,E5a_Cagri_Merkezi_Memnuniyeti,E6_Memnuniyetsizlik_Nedeni,N1_Kampanya_Takip,N2_Takip_Kanallari,N3_Mobil_App_Bilinirlik,S44_Brand_Retention,F1_Recommendation_NPS,F1x_Brand_Importance,K1_1_Kasko_Satin_Aldi_mi,K7_Kasko_Tercih_Nedeni,K1_2_Kasko_Teklifi_Verildi_mi,K8_Avantajlardan_Bahsedildi_mi,K9_Akilda_Kalan_Teminat,K1a_Kasko_Tercih_Etmeme_Nedeni,K3_Kasko_Genel_Memnuniyet,K4_Kasko_Yenileme_Tercihi,K5_Kasko_Tavsiye,K6_Kasko_Tavsiye_Nedeni,K2_Kaskodan_Haberdar_Olma,I1_Sorun_Yasadi_mi,I2_Sorun_Giderildi_mi,M1_Veri_Paylasim_Izni,NPS_Kategori,EO0_Endeks_100,EO0_Top2Box,S44_Top2Box
CSI-CRD-00001,Kredi Kullanan Müşteri,Stenos Auto_2025_CSI_Soru_Formu_v2-Final,2026-04-05,Stenos Adana Seyhan,Adana,Akdeniz Bölgesi,Akar Ziyaettin Aslan Yüksel,Hafif Ticari,Retail,36,Erkek,50.001 - 85.000 TL,1015000,36,1.0,1,2,Nakit bütçemi bozmak istemedim,1,Türkiye Finans; Burgan Bank; Vakıflar Bankası,Daha önce kredi kullanmıştım; Personelin genel tutum davranışları; Ulaşım kolaylığı,9,"Süreç hızlı ilerledi, bilgilendirme yeterliydi",,8,Danışman ilgili ve bilgiliydi,,9,8,7,10,,8,9,,1,,2,,,,1,Stenos Auto Mobil App; Web sitesi,2,9,10,8,1.0,Fiyat avantajı,,,,,9.0,7.0,10.0,,"Gazete, dergi ilanlarından; İnternet reklamlarından",1,1.0,1,Promoter,88.9,1,1
CSI-CRD-00002,Kredi Kullanan Müşteri,Stenos Auto_2025_CSI_Soru_Formu_v2-Final,2026-01-05,Stenos Gaziantep Şahinbey,Gaziantep,Güney Doğu Anadolu Bölgesi,Uz. Zamir Açıkel Tarhan,Otomobil-Binek,Retail,41,Erkek,25.000 TL altı,987000,24,5.8,1,1,,1,Halk Bankası,Daha önce kredi kullanmıştım; Daha az döküman/daha az prosedür; Hizmet kalitesi,10,"Süreç hızlı ilerledi, bilgilendirme yeterliydi",,10,Danışman ilgili ve bilgiliydi,,10,10,9,99,,10,9,,1,,1,Kredi geri ödeme planımı temin etmek; Fatura ile ilgili olarak,7.0,,1,Web sitesi; Stenos Auto Mobil App,1,9,9,9,1.0,Teminat içeriği; Kredi avantajı,,,,,10.0,10.0,9.0,,Daha önce kredi kullanan tanıdıklarımdan / tavsiye,2,,2,Promoter,100.0,1,1
CSI-CRD-00003,Kredi Kullanan Müşteri,Stenos Auto_2025_CSI_Soru_Formu_v2-Final,2026-03-15,Stenos İstanbul Kadıköy,İstanbul,Marmara Bölgesi,Suat Şafak,Otomobil-Binek,Retail,53,Erkek,150.000 TL üzeri,2489000,48,9.2,1,1,,2,Vakıflar Bankası; Burgan Bank; Türkiye Finans,Sigorta hizmetlerinin de olması; Sorunların zamanında çözülmesi; Faiz oranı,10,"Süreç hızlı ilerledi, bilgilendirme yeterliydi",,9,Danışman ilgili ve bilgiliydi,,9,99,9,10,,10,8,,1,,2,,,,1,"Gazete, dergi vb.; Web sitesi",1,9,9,9,1.0,Kredi avantajı; Fiyat avantajı,,,,,9.0,10.0,10.0,,"Stenos Auto Finans veya Stenos Auto internet sayfalarından; Gazete, dergi ilanlarından",2,,1,Promoter,100.0,1,1
CSI-CRD-00004,Kredi Kullanan Müşteri,Stenos Auto_2025_CSI_Soru_Formu_v2-Final,2025-06-16,Stenos Bursa Nilüfer,Bursa,Marmara Bölgesi,Akdora Aygutalp Bilir,Otomobil-Binek,Retail,51,Kadın,50.001 - 85.000 TL,1606000,36,1.0,1,2,Nakit bütçemi bozmak istemedim,2,AlBaraka; Ziraat Bankası,Müşteri ilişkileri; Faiz oranı; Düşük peşinat / peşinatsız kredi imkânı,10,"Süreç hızlı ilerledi, bilgilendirme yeterliydi",,10,Danışman ilgili ve bilgiliydi,,99,99,10,10,,9,10,,2,Taksit tarihleri net anlatılmadı,2,,,,1,Acente,1,10,10,8,2.0,,1.0,1.0,Yeni değer klozu,Servis hizmet memnuniyetsizliği; Sigorta şirketi memnuniyetsizliği,,,,,,2,,1,Promoter,100.0,1,1
CSI-CRD-00005,Kredi Kullanan Müşteri,Stenos Auto_2025_CSI_Soru_Formu_v2-Final,2026-06-21,Stenos Erzurum Yakutiye,Erzurum,Doğu Anadolu Bölgesi,Arş. Gör. Sıylıhan Akbaş Durmuş,Otomobil-Binek,Filo,52,Kadın,25.001 - 50.000 TL,1432000,12,8.7,1,2,Satış danışmanının yönlendirmesi,1,OdeaBank; Ziraat Bankası; Yapı ve Kredi Bankası,Müşteri ilişkileri; Daha az döküman/daha az prosedür; Faiz oranı,10,"Süreç hızlı ilerledi, bilgilendirme yeterliydi",,10,Danışman ilgili ve bilgiliydi,,10,10,9,10,,10,10,,1,,2,,,,2,,1,10,9,10,,,,,,,,,,,,2,,2,Promoter,100.0,1,1
CSI-CRD-00006,Kredi Kullanan Müşteri,Stenos Auto_2025_CSI_Soru_Formu_v2-Final,2026-05-13,Stenos İstanbul Kadıköy,İstanbul,Marmara Bölgesi,Yağızkurt Şensoy,Hafif Ticari,Retail,53,Erkek,25.001 - 50.000 TL,749000,36,1.6,1,2,Nakit bütçemi bozmak istemedim,1,HSBC Bank; İş Bankası,Düşük peşinat / peşinatsız kredi imkânı; Faiz oranı; Daha uzun vade,10,"Süreç hızlı ilerledi, bilgilendirme yeterliydi",,10,Danışman ilgili ve bilgiliydi,,10,8,10,10,,10,10,,1,,3,,,,1,Sosyal medya,3,9,10,10,2.0,,1.0,1.0,Yeni değer klozu,Servis hizmet memnuniyetsizliği,,,,,,2,,1,Promoter,100.0,1,1
CSI-CRD-00007,Kredi Kullanan Müşteri,Stenos Auto_2025_CSI_Soru_Formu_v2-Final,2026-03-29,Stenos Antalya Muratpaşa,Antalya,Akdeniz Bölgesi,Öğr. Seniha İnsaf Aslan,Hafif Ticari,Retail,43,Kadın,85.001 - 150.000 TL,1594000,24,1.0,1,1,,1,İş Bankası,Daha uzun vade; Sorunların zamanında çözülmesi; Markanın finans kurumu olması,10,"Süreç hızlı ilerledi, bilgilendirme yeterliydi",,10,Danışman ilgili ve bilgiliydi,,10,10,10,9,,9,10,,1,,1,Fatura ile ilgili olarak,10.0,,2,,2,10,9,10,2.0,,1.0,1.0,Yeni değer klozu,Kendi sigortacısı/tanıdık acente olması,,,,,,2,,1,Promoter,100.0,1,1
CSI-CRD-00008,Kredi Kullanan Müşteri,Stenos Auto_2025_CSI_Soru_Formu_v2-Final,2025-04-15,Stenos Gaziantep Şahinbey,Gaziantep,Güney Doğu Anadolu Bölgesi,Çerçi Sezgin,Hafif Ticari,Retail,43,Erkek,85.001 - 150.000 TL,1476000,24,4.5,1,1,,1,Türkiye Finans; Akbank,Kampanyaları olması; Araçla birlikte tüm finansal hizmetleri tek noktada sunabilmeleri; Sorunların zamanında çözülmesi,7,Genel olarak iyiydi ancak bazı aşamalar uzun sürdü,,6,Danışmanın bilgilendirmesi yetersizdi,1.0,6,7,6,6,Taksit seçenekleri ihtiyacıma uymadı,7,10,,1,,2,,,,2,,1,8,8,6,1.0,Teminat içeriği,,,,,7.0,4.0,8.0,Fiyat/teminat dengesi beklentimin altındaydı,Yetkili servisten,2,,1,Passive,66.7,0,0
CSI-CRD-00009,Kredi Kullanan Müşteri,Stenos Auto_2025_CSI_Soru_Formu_v2-Final,2025-09-04,Stenos Bursa Nilüfer,Bursa,Marmara Bölgesi,Doç. Maksur Şama,Otomobil-Binek,Retail,32,Erkek,85.001 - 150.000 TL,857000,36,1.3,1,1,,1,Başka kuruluş araştırmadım,Hizmet kalitesi; Faiz oranı; Personelin genel tutum davranışları,10,"Süreç hızlı ilerledi, bilgilendirme yeterliydi",,10,Danışman ilgili ve bilgiliydi,,10,10,8,10,,10,10,,1,,2,,,,2,,3,9,10,10,1.0,Fiyat avantajı,,,,,8.0,10.0,10.0,,Acente görselliği sayesinde; Yetkili servisten,1,2.0,1,Promoter,100.0,1,1
CSI-CRD-00010,Kredi Kullanan Müşteri,Stenos Auto_2025_CSI_Soru_Formu_v2-Final,2025-01-04,Stenos Trabzon Ortahisar,Trabzon,Karadeniz Bölgesi,Ferahdiba Bilir,Otomobil-Binek,Retail,45,Kadın,50.001 - 85.000 TL,1456000,36,11.2,1,1,,2,Başka kuruluş araştırmadım,Hizmet kalitesi; Faiz oranı; Araçla birlikte tüm finansal hizmetleri tek noktada sunabilmeleri,10,"Süreç hızlı ilerledi, bilgilendirme yeterliydi",,10,Danışman ilgili ve bilgiliydi,,9,9,10,8,,10,9,,2,Gecikme faizi hakkında bilgi verilmedi,99,,,,2,,2,8,9,9,1.0,Fiyat avantajı; Teminat içeriği,,,,,9.0,10.0,7.0,Fiyat/teminat dengesi beklentimin altındaydı,"Gazete, dergi ilanlarından",2,,1,Promoter,100.0,1,0
CSI-CRD-00011,Kredi Kullanan Müşteri,Stenos Auto_2025_CSI_Soru_Formu_v2-Final,2025-03-31,Stenos Gaziantep Şahinbey,Gaziantep,Güney Doğu Anadolu Bölgesi,Ceyhun Çorlu,Hafif Ticari,Retail,46,Erkek,150.000 TL üzeri,2252000,60,5.6,1,1,,2,Başka kuruluş araştırmadım,Kredi alımlarında hızlılık; Ulaşım kolaylığı; Kampanyaları olması,10,"Süreç hızlı ilerledi, bilgilendirme yeterliydi",,8,Danışman ilgili ve bilgiliydi,,10,10,10,8,,8,99,,1,,1,Fatura ile ilgili olarak; Banka Hesap No'ları hakkında bilgi,10.0,,2,,1,10,9,10,2.0,,2.0,,,Servis hizmet memnuniyetsizliği; Sigorta şirketi memnuniyetsizliği,,,,,,2,,1,Promoter,100.0,1,1
CSI-CRD-00012,Kredi Kullanan Müşteri,Stenos Auto_2025_CSI_Soru_Formu_v2-Final,2026-02-04,Stenos Antalya Muratpaşa,Antalya,Akdeniz Bölgesi,Canseven Ergül Akdeniz,Otomobil-Binek,Retail,47,Erkek,85.001 - 150.000 TL,1179000,48,1.1,1,1,,1,Başka kuruluş araştırmadım,Markanın finans kurumu olması; Daha önce kredi kullanmıştım; Faiz oranı,9,"Süreç hızlı ilerledi, bilgilendirme yeterliydi",,9,Danışman ilgili ve bilgiliydi,,9,9,10,9,,7,10,,1,,2,,,,2,,2,9,9,7,1.0,Kredi avantajı; Fiyat avantajı,,,,,10.0,7.0,10.0,,Stenos Auto Finans veya Stenos Auto iletişim hattından; Daha önce kredi kullanan tanıdıklarımdan / tavsiye,2,,1,Promoter,88.9,1,1
CSI-CRD-00013,Kredi Kullanan Müşteri,Stenos Auto_2025_CSI_Soru_Formu_v2-Final,2026-03-30,Stenos Ankara Çankaya,Ankara,İç Anadolu Bölgesi,Şehreban Kardelen Sezgin Türk,Hafif Ticari,Retail,49,Kadın,150.000 TL üzeri,2380000,36,18.9,1,1,,2,Başka kuruluş araştırmadım,Kampanyaları olması; Düşük peşinat / peşinatsız kredi imkânı; Kredi alımlarında hızlılık,5,Evrak ve geri dönüş süreçlerinde sorun yaşadım,1.0,7,Danışmanın bilgilendirmesi yetersizdi,,5,4,4,4,Taksit seçenekleri ihtiyacıma uymadı,4,6,Onay süreci beklediğimden uzun sürdü,1,,1,Yeni Kredi Başvurusu için,5.0,Ödememin hesaplara gecikmeli yansıması,2,,1,2,0,6,1.0,Kredi avantajı; Fiyat avantajı,,,,,7.0,4.0,4.0,Fiyat/teminat dengesi beklentimin altındaydı,"Gazete, dergi ilanlarından",2,,2,Detractor,44.4,0,0
CSI-CRD-00014,Kredi Kullanan Müşteri,Stenos Auto_2025_CSI_Soru_Formu_v2-Final,2026-06-09,Stenos İstanbul Maslak,İstanbul,Marmara Bölgesi,Arş. Gör. Edaviye Nuriyet Çorlu Durmuş,Hafif Ticari,Filo,45,Kadın,25.001 - 50.000 TL,509000,48,2.5,1,1,,2,Başka kuruluş araştırmadım,Markaya duyulan güven; Düşük peşinat / peşinatsız kredi imkânı; Ödeme Planında Esneklik,8,Genel olarak iyiydi ancak bazı aşamalar uzun sürdü,,7,Danışmanın bilgilendirmesi yetersizdi,,9,8,9,8,,7,7,,2,Taksit tarihleri net anlatılmadı,1,Hesap / Borç durumu öğrenme,9.0,,1,Web sitesi; Sosyal medya,2,8,8,6,,,,,,,,,,,,2,,1,Passive,77.8,0,0
CSI-CRD-00015,Kredi Kullanan Müşteri,Stenos Auto_2025_CSI_Soru_Formu_v2-Final,2025-06-03,Stenos İzmir Bornova,İzmir,Ege Bölgesi,Nevsale Ürper Akar,Otomobil-Binek,Filo,54,Erkek,85.001 - 150.000 TL,669000,36,5.7,1,1,,1,Finans Bank; Yapı ve Kredi Bankası,Daha uzun vade; Ulaşım kolaylığı; Markanın finans kurumu olması,10,"Süreç hızlı ilerledi, bilgilendirme yeterliydi",,10,Danışman ilgili ve bilgiliydi,,10,9,10,10,,8,10,,1,,2,,,,2,,3,9,10,8,,,,,,,,,,,,2,,1,Promoter,100.0,1,1
CSI-CRD-00016,Kredi Kullanan Müşteri,Stenos Auto_2025_CSI_Soru_Formu_v2-Final,2025-07-10,Stenos Bursa Nilüfer,Bursa,Marmara Bölgesi,Alanalp Ülker,Hafif Ticari,Filo,51,Kadın,85.001 - 150.000 TL,1321000,36,6.9,1,1,,1,Yapı ve Kredi Bankası,Markaya duyulan güven; Kredi alımlarında hızlılık; Ödeme Planında Esneklik,10,"Süreç hızlı ilerledi, bilgilendirme yeterliydi",,9,Danışman ilgili ve bilgiliydi,,10,10,10,10,,10,10,,2,Erken kapama koşulları açıklanmadı,1,Fatura ile ilgili olarak; Kredimin ödeme planını revize etmek,9.0,,2,,2,10,10,7,,,,,,,,,,,,1,1.0,1,Promoter,100.0,1,1
CSI-CRD-00017,Kredi Kullanan Müşteri,Stenos Auto_2025_CSI_Soru_Formu_v2-Final,2025-09-19,Stenos Antalya Muratpaşa,Antalya,Akdeniz Bölgesi,Prof. Ferzi Asım Akdeniz,Otomobil-Binek,Filo,31,Erkek,150.000 TL üzeri,1212000,48,5.2,1,1,,1,Yapı ve Kredi Bankası,Faiz oranı; Ulaşım kolaylığı; Düşük peşinat / peşinatsız kredi imkânı,10,"Süreç hızlı ilerledi, bilgilendirme yeterliydi",,10,Danışman ilgili ve bilgiliydi,,9,10,10,7,,10,8,,1,,1,Fatura ile ilgili olarak,10.0,,1,Sosyal medya; Stenos Auto Mobil App; Acente,1,8,9,8,,,,,,,,,,,,2,,1,Promoter,100.0,1,0
CSI-CRD-00018,Kredi Kullanan Müşteri,Stenos Auto_2025_CSI_Soru_Formu_v2-Final,2025-04-13,Stenos Malatya Battalgazi,Malatya,Doğu Anadolu Bölgesi,Av. Azettin Kavurt Aslan,Hafif Ticari,Retail,35,Erkek,150.000 TL üzeri,1959000,24,1.0,1,1,,2,Vakıflar Bankası; HSBC Bank; ING,Ödeme Planında Esneklik; Faiz oranı; Hizmet kalitesi,10,"Süreç hızlı ilerledi, bilgilendirme yeterliydi",,10,Danışman ilgili ve bilgiliydi,,9,10,10,9,,10,10,,2,Taksit tarihleri net anlatılmadı,2,,,,1,"Web sitesi; Gazete, dergi vb.; Stenos Auto Mobil App",3,10,10,8,2.0,,1.0,1.0,Muafiyetsiz cam teminatı,Sigorta şirketi memnuniyetsizliği,,,,,,2,,1,Promoter,100.0,1,1
CSI-CRD-00019,Kredi Kullanan Müşteri,Stenos Auto_2025_CSI_Soru_Formu_v2-Final,2025-03-25,Stenos Adana Seyhan,Adana,Akdeniz Bölgesi,Dr. Nezize Feyzin Arsoy Ergül,Otomobil-Binek,Retail,47,Kadın,85.001 - 150.000 TL,699000,24,12.4,1,1,,1,Başka kuruluş araştırmadım,Daha az döküman/daha az prosedür; Sorunların zamanında çözülmesi; Müşteri ilişkileri,6,Evrak ve geri dönüş süreçlerinde sorun yaşadım,2.0,5,Danışmanın bilgilendirmesi yetersizdi,1.0,6,7,7,4,Taksit seçenekleri ihtiyacıma uymadı,5,6,Onay süreci beklediğimden uzun sürdü,1,,2,,,,2,,1,3,6,7,2.0,,2.0,,,Servis hizmet memnuniyetsizliği,,,,,,2,,1,Detractor,55.6,0,0
CSI-CRD-00020,Kredi Kullanan Müşteri,Stenos Auto_2025_CSI_Soru_Formu_v2-Final,2025-09-19,Stenos Erzurum Yakutiye,Erzurum,Doğu Anadolu Bölgesi,Tınal Aslan,Otomobil-Binek,Retail,32,Kadın,150.000 TL üzeri,2233000,24,9.8,1,2,Nakit bütçemi bozmak istemedim,1,Başka kuruluş araştırmadım,Kampanyaları olması; Müşteri ilişkileri; Faiz oranı,8,Genel olarak iyiydi ancak bazı aşamalar uzun sürdü,,9,Danışman ilgili ve bilgiliydi,,10,9,6,7,,9,8,,2,Gecikme faizi hakkında bilgi verilmedi,2,,,,1,Stenos Auto Mobil App; Sosyal medya,3,6,8,5,2.0,,1.0,1.0,Yol yardım hizmeti,Kendi sigortacısı/tanıdık acente olması; Servis hizmet memnuniyetsizliği,,,,,,2,,1,Passive,77.8,0,0
CSI-CRD-00021,Kredi Kullanan Müşteri,Stenos Auto_2025_CSI_Soru_Formu_v2-Final,2025-04-13,Stenos Trabzon Ortahisar,Trabzon,Karadeniz Bölgesi,Tanbay Şener,Otomobil-Binek,Retail,27,Erkek,150.000 TL üzeri,1770000,60,32.7,1,2,Nakit bütçemi bozmak istemedim,1,QNB Fibabank; Burgan Bank; Alternatifbank,Markaya duyulan güven; Daha az döküman/daha az prosedür; Düşük peşinat / peşinatsız kredi imkânı,4,Evrak ve geri dönüş süreçlerinde sorun yaşadım,1.0,1,Danışmanın bilgilendirmesi yetersizdi,99.0,3,4,2,6,Taksit seçenekleri ihtiyacıma uymadı,2,4,Onay süreci beklediğimden uzun sürdü,2,Erken kapama koşulları açıklanmadı,2,,,,1,Stenos Auto Mobil App,1,4,3,3,2.0,,2.0,,,Kendi sigortacısı/tanıdık acente olması; Servis hizmet memnuniyetsizliği,,,,,,2,,1,Detractor,33.3,0,0
